N,T,answer,time_ms
20,1,626,0
20,2,626,0
20,3,626,0
20,4,626,0
20,5,626,0
20,8,626,0
20,10,626,1
40,1,37337,0
40,2,37337,0
40,3,37337,0
40,4,37337,1
40,5,37337,0
40,8,37337,0
40,10,37337,0
60,1,966466,7
60,2,966466,3
60,3,966466,3
60,4,966466,2
60,5,966466,2
60,8,966466,1
60,10,966466,1
70,1,4087967,30
70,2,4087967,17
70,3,4087967,14
70,4,4087967,9
70,5,4087967,8
70,8,4087967,5
70,10,4087967,5
75,1,8118263,65
75,2,8118263,34
75,3,8118263,24
75,4,8118263,19
75,5,8118263,17
75,8,8118263,12
75,10,8118263,11
80,1,15796475,138
80,2,15796475,65
80,3,15796475,49
80,4,15796475,40
80,5,15796475,34
80,8,15796475,26
80,10,15796475,23
85,1,30167356,243
85,2,30167356,122
85,3,30167356,87
85,4,30167356,68
85,5,30167356,60
85,8,30167356,45
85,10,30167356,42
90,1,56634172,454
90,2,56634172,240
90,3,56634172,167
90,4,56634172,133
90,5,56634172,113
90,8,56634172,88
90,10,56634172,98
95,1,104651418,955
95,2,104651418,501
95,3,104651418,353
95,4,104651418,275
95,5,104651418,242
95,8,104651418,186
95,10,104651418,179
100,1,190569291,1788
100,2,190569291,940
100,3,190569291,650
100,4,190569291,527
100,5,190569291,431
100,8,190569291,341
100,10,190569291,343
